image_name,Captions,Question,Answer,Category,Captions_en,Question_en,Answer_en
chitron_6616.png,'একটি লোহার সেতুর নীচ দিয়ে একটি নৌকায় কয়েকজন মানুষ যাচ্ছেন।,ছবিতে নৌকায় কতজন মানুষ রয়েছে?,পাঁচ,Number,Some people are going in a boat under an iron bridge,How many people are in the boat?,five
chitron_476.png,'মানুষ ভর্তি কিছু লঞ্চ নদী দিয়ে ভাসে আসছে।,ছবিতে কয়টি লঞ্চ দেখা যাচ্ছে?,চার,Number,Some launches full of people are floating in the river,How many launches are shown in the picture?,four
chitron_5515.png,'গাছের সারির মাঝে জামা কাপড় পরে দাড়িয়ে আছেন একজন মেয়ে যার চুল লম্বা।,গাছের সারির মাঝে দাঁড়িয়ে আছেন কত জন মেয়ে?,এক,Number,In the middle of the tree line there is a girl wearing clothes with long hair,How many women are standing in the rows of trees?,one
chitron_830.png,'৫ টি মেয়ে ও ১ টি ছেলে মেঝেতে বসে ছবি আঁকছে।,চিত্রে কতজন মেয়ে ছবি আঁকতে দেখা যাচ্ছে?,পাঁচ,Number,Five girls and one boy sitting on the floor drawing pictures,How many girls are shown in the picture?,five
bnature_1966.jpg,"রাস্তায় পানি আছে। অনেকগুলো গাড়ি আছে। রাস্তার পাশে অনেকগুলো ভবন আছে।,
 ব্যস্ত শহর।,
 চিরচেনা নগর জীবন।",ছবিতে প্রদর্শিত শহর কতটা ব্যস্ত?,অত্যন্ত ব্যস্ত,Misc,"There are water on the streets, there are many cars, there are many buildings on the sides of the streets, busy cities, familiar city life",How busy is the city shown in the picture?,busy
bnature_1388.jpg,"এক জন মা তার বাচ্চার সাথে শুয়ে আছে এবং একজন মহিলা উপর হয়ে বাচ্চাকে নিতে চাচ্ছে।,
 দুইজন নারী ও একটি নবজাতক শিশু আছে।,
 দুইজন নারী ও একটি নবজাতক শিশু শুয়ে আছে।",ছবিটিতে কয়জন মানুষ দেখা যাচ্ছে?,তিন,Number,"A mother lying with her baby and a woman trying to take the baby up, two women and a newborn baby, two women and a newborn baby lying down",How many people are in the picture?,three
chitron_5384.png,'কয়েকজন লোক দাড়িয়ে তাকিয়ে আছে।,চিত্রে কতজন লোক দেখা যাচ্ছে?,সাত,Number,Some people are standing there looking,How many people are in the picture?,seven
bnature_998.jpg,"১ জন মহিলা ২ জন পুরুষ হাতে ফুল নিয়ে একজন পুরুষকে অভিনন্দন জানাচ্ছে যার পিছনে দাড়িয়ে আছে ৪ জন পুরুষ ২ জন মহিলা।,
 আটজন পুরুষ ও তিনজন নারী দাড়িয়ে আছে।,
 একজন লোককে কিছু নারী পুরুষ মিলে ফুল দিয়ে শুভেচ্ছা জানাচ্ছে।",এই ছবিতে মোট কতজন ব্যক্তি দাঁড়িয়ে আছে?,এগারো,Number,"1 woman 2 men congratulate a man with flowers in hand, 4 men 2 women, eight men and three women standing behind him",How many people are standing in this picture?,eleven
bornon_1986.jpg,"কতগুলো সাদা ও কালো খরগোস আছে ।,
 কতগুলো খরগোস আছে ।,
 কতগুলো খরগোস খাবার খাচ্ছে ।",ছবিটিতে কতগুলো খরগোস খাবার খাচ্ছে?,পাঁচ,Number,"There are white and black rabbits, there are rabbits, there are rabbits eating",How many turtles are eating in the picture?,five
chitron_272.png,ক্ষেতের ভিতর চারজন মানুষ বসে কাজ করছে। একজন মানুষ দাড়িয়ে আছে। দূর দিয়ে দুইজন মানুষ হেঁটে যাচ্ছে। একটি গরুর গাড়ি দেখা যাচ্ছে।,ছবিতে কতজন মানুষ মাঠে কাজ করছে?,চার,Number,"Four men working in the fields, one man standing, two men walking in the distance",How many people are working in the field?,four
chitron_5243.png,'ঢাকা কলেজে কতগুলো মেয়েরা শহীদ মিনার বানাচ্ছে।,ছবিতে কতজন মেয়ে শহীদ মিনার নির্মাণে অংশ নিচ্ছে?,পাঁচ,Number,Some girls in Dhaka College are building the Shaheed Minar,How many girls are taking part in building the Shaheed Minar?,five
bnature_1612.jpg,"চার জন ছোট বাচ্চা একই রঙের কাপড় পরে একটি পার্কেত লোহার পাইপ ধরে পাশাপাশী দাড়িয়ে আছে।,
 চারটি মেয়ে শিশু দাড়িয়ে আছে।,
 চার জন ছোট বাচ্চা একই রঙের কাপড় পরে একটি পার্কেত পাশাপাশী দাড়িয়ে আছে।",এই ছবিতে কতজন মেয়ে শিশু দাড়িয়ে আছে?,চার,Number,Four small children wearing the same colours standing side by side with a parquet iron pipe. Four girls standing side by side with a parquet,How many girls are standing in this picture?,four
chitron_4582.png,ঝর্ণার পানিতে কয়েকজন পুরুষ গোছল করছে।,ছবিতে মোট কতজন পুরুষ রয়েছেন?,পাঁচ,Number,Some men bathing in the water of the fountain,How many men are in the picture?,five
bnature_1075.jpg,"মুদি দোকানের বেঞ্চে পরষ্পর বীপরিত দিকে বসে আছে দুজন নারী,দুরে দেয়ালের সাথে ঘেষিয়ে খাট রাখা।,
 দুইজন নারী ও একজন পুরুষ আছে।,
 ৩ জন মানুষ, যাদের একজন মুদি দোকানি, দুজন নারী, একজন নারীর পেছনে মিনারেল ওয়াটার।",ছবিতে মুদি দোকানে কতজন মানুষ দৃশ্যমান?,তিন,Number,"Two women sitting opposite to each other on grocery benches, two women and a man, three men, one grocery shopkeeper, two women, one woman behind a woman, mineral water",How many people are visible in the grocery store?,three
bornon_3544.jpg,"জঙ্গলঘেরা পাহাড়ি এলাকায় নদীর তীরে তিনটি নৌকা বাঁধা আছে ।,
 তিনটি নৌকার ছবি দেখা যাচ্ছে ।,
 পাহাড়ি এলাকায় নদীর তীরে তিনটি নৌকা বাঁধা আছে ।",ছবিতে কতগুলি নৌকা দেখা যাচ্ছে?,তিন,Number,"Three boats are tied on the bank of the river in the forested hills, three boats can be seen. Three boats are tied on the bank of the river in the hills",How many boats are shown in the picture?,three
chitron_7875.png,'২ জন ছোট ছেলে একজন বসে আছে বস্তার উপরে একজন তাকিয়ে বিড়ি টানছেন।,ছবিতে কতজন ছেলে দেখা যাচ্ছে?,দুই,Number,"Two little boys sitting, one sitting on a sack, one smoking a cigarette",How many boys are in the picture?,Two
bornon_531.jpg,"রাস্তার উপরে মেঘলা আকাশ দেখা যাচ্ছে ।,
 একটি রাস্তার ছবি দেখা যাচ্ছে ।,
 রাস্তায় দুটি বাইক দেখা যাচ্ছে ।",ছবির রাস্তায় কতগুলি বাইক দেখা যাচ্ছে?,দুই,Number,"A cloudy sky over the street, a picture of a street, two bikes on the street",How many bikes are seen on the road in the picture?,Two
chitron_4001.png,'তিনজন বন্ধু দাড়িয়ে হাসতেছে ও তাদের হাতে ক্যামেরা।,ছবিতে কয়জন বন্ধু দেখা যাচ্ছে?,তিন,Number,Three friends are standing and laughing with cameras,How many friends are in the picture?,three
bnature_1884.jpg,"কয়েকজন পুরুষ হাসিমুখে হাতে চা নিয়ে দাঁড়িয়ে আছে।,
 কয়েকজন পুরুষ দাঁড়িয়ে আছে।,
 কয়েকজন পুরুষ হাসিমুখে দাঁড়িয়ে আছে।",ছবিতে কয়জন পুরুষ হাতে চা নিয়ে দাঁড়িয়ে আছে?,এক,Number,"Some men standing with tea in their hands, some men standing smiling, some men standing smiling",How many men in the picture are standing with tea in their hands?,one
bnature_2154.jpg,"একজন পুরুষ পানিতে জাল ফেলছেন এবং পাশে একজন ছোট ছেলে দাঁড়িয়ে আছে।,
 ঝাকিজাল ফেকা অবস্থার চিত্র।,
 একজন পুরুষ পানিতে জাল ফেলছে। একটি শিশু আছে।",ছবিতে কয়জন ব্যক্তি দেখা যাচ্ছে?,দুই,Number,A man drawing nets in the water and a little boy standing next to it. Picture of a drawing nets in the water. A man drawing nets in the water. A child,How many people are in the picture?,Two
bornon_1669.jpg,"আশেপাশে গাছপালা দেখা যাচ্ছে ।,
 তিনটি ছাগল আছে ।,
 আকাশ দেখা যাচ্ছে ।",ছবিতে মোট কতগুলি ছাগল দেখা যাচ্ছে?,তিন,Number,"There are trees around, three goats, the sky is visible",How many goats are in the picture?,three
bornon_513.jpg,"কাপের পাশে দুটি চিনির প্যাকেট দেখা যাচ্ছে ।,
 একটি কফিকাপের ছবি দেখা যাচ্ছে ।,
 কাপের পাশে একটি চামচ দেখা যাচ্ছে ।",কফিকাপটির পাশে কতগুলি চিনির প্যাকেট আছে?,দুই,Number,"Two sugar packets on the side of the cup, a picture of a coffee cup, a spoon on the side of the cup",How many sugar packets are next to the coffee cup?,Two
bnature_40.jpg,"পুকুরের পাড়ে সবুজ গাছপালা ও দুইটা নৌকা।,
 পুকুরের পাড়ে গাছপালা ও নৌকা।,
 সবুজ গাছপালা ও পুকুরের পাড়ে দুইটা নৌকা।",পুকুরের পাড়ে কতগুলো নৌকা আছে?,দুই,Number,"Green vegetation and two boats on the bank of the pond, Green vegetation and boats on the bank, Green vegetation and two boats on the bank of the pond",How many boats are on the bank of the pond?,Two
chitron_901.png,'গাছ পালার মাঝে রাস্তা দিয়ে  ২ জন মানুষ হেঁটে যাচ্ছে।,ছবিতে কয়জন মানুষ হেঁটে যাচ্ছে?,দুই,Number,Two men walking on the road between trees,How many people are walking in the picture?,Two
bornon_4077.jpg,"টেবিলের উপর একটি সাদা রঙের ট্রে রয়েছে ।,
 দুইটি সসের প্যাকেট আছে ।,
 ট্রের মধ্যে দুই পিচ স্যান্ডউইচ রয়েছে ।",ট্রেতে কতগুলো স্যান্ডউইচ রয়েছে?,দুই,Number,There is a white tray on the table. There are two sauces packets. There are two pitched sandwiches in the tray,How many sandwiches are in the tray?,Two
chitron_4520.png,সামনে তিনজন পুরুষ বসে আছে। পিছনে সাতজন পুরুষ দাড়িয়ে আছে।,ছবিতে মোট কতজন পুরুষ রয়েছেন?,দশ,Number,Three men sat in front and seven men stood behind,How many men are in the picture?,ten
chitron_426.png,'২ জন বাচ্চা ও একজন বড় মানুষ হেঁটে নদীর দিকে যাচ্ছে আর নদীতে একটি নৌকা চলছে।,ছবিতে মোট কতজন মানুষ নদীর দিকে যাচ্ছে?,তিন,Number,Two children and a big man are walking towards the river and a boat is riding in the river,How many people are going towards the river in the picture?,three
chitron_3175.png,'রাতের বেলা মাছের বাজার বসে আছে ৩ জন পুরুষ এবং দাড়িয়ে দেখছে ৩ জন পুরুষ যার মাঝে ২ টি লাইট জ্বলছে।,ছবিতে কতগুলো লাইট জ্বলছে?,দুই,Number,"In the night, there are 3 men sitting at the fish market and watching 3 men standing in the middle of them with two lights burning",How many lights are on the picture?,Two
bornon_804.jpg,"পাহাড়ের সমন্বয়ে গড়ে উঠা একটি সুন্দর সাদা বাড়ি দেখা যাচ্ছে ।,
 দুইটি বিমান দেখা যাচ্ছে ।,
 একটি বিমান বন্দর দেখা যাচ্ছে ।",ছবিতে কয়টি বিমান দেখা যাচ্ছে?,দুই,Number,"A beautiful white house in the middle of a hill, two aircraft, an airport",How many aircraft are in the picture?,Two
bornon_4002.jpg,"প্লেটের মধ্যে অনেক খাবার রয়েছে ।,
 প্লেটের পাশে জুস্ আছে ।,
 টেবিলের উপর দুইটি প্লেট আছে ।",টেবিলে কতগুলি প্লেট রয়েছে?,দুই,Number,"There's a lot of food in a plate, there's juice next to the plate, there's two plates on the table",How many plates are on the table?,Two
chitron_1571.png,'রাস্তার পাশ দিয়ে ২ টি ব্যাগ নিয়ে হেটে যাচ্ছে একজন পুরুষ এবং রাস্তার উপরে ঘুমাচ্ছে একজন ভিক্ষুক।,ছবিতে পুরুষটি কয়টি ব্যাগ নিয়ে হাঁটছে?,দুই,Number,A man walking by the road with two bags and a beggar sleeping on the road,How many bags is the man walking in the picture?,Two
chitron_6151.png,'টতিন জন পুরুষ দাড়িয়ে হাসছেন যাদের পিছনে একটি বাড়ি।,ছবিটিতে কত জন ব্যক্তি রয়েছে?,এক,Number,Three men standing smiling behind them a house,How many people are in the picture?,one
chitron_6662.png,'একটি দালানের এই পাড়ে ২ জন পুরুষ  এবং অইপারে কিছু মানুষ কাজ করছেন।,দালানের এই পাড়ে কয়জন পুরুষ দেখা যাচ্ছে?,দুই,Number,Two men working on this side of a building and some people working on the other side,How many men are there on this side of the building?,Two
chitron_587.png,"একজন পুরুষ, একটি শিশু, একজন বালিকা ও একজন নারী পাশাপাশি বসে আছে।",এই চিত্রে পরিবারের কতজন সদস্য বেঞ্চে বসে আছেন?,চার,Number,"A man, a child, a girl and a woman sat side by side",How many family members are sitting on the bench in this picture?,four
chitron_3751.png,'৪জন কৃষক বসে ভাত খাচ্চেন এবং ১ জন পুরুষ দাড়িয়ে কিছু জিজ্ঞাসা করছেন।,চিত্রে কতজন পুরুষ বসে ভাত খাচ্ছেন?,চার,Number,Four farmers are eating rice and one man stands and asks something,How many men sitting and eating rice in the picture?,four
bornon_2517.jpg,"একটি বাটিতে তিন টুকরা মাংস আছে ।,
 একটি বাটি আছে ।,
 একটি বাটিতে মাংসের টুকরা আছে ।",বাটিতে কতগুলো মাংসের টুকরা আছে?,তিন,Number,There is a bowl of three pieces of meat. There is a bowl. There is a bowl of meat,How many pieces of meat are in the bowl?,three
bornon_83.jpg,"রাস্তায় জমে থাকা বৃষ্টির পানিতে একটি লোকের প্রতিচ্ছবি ।,
 পানিতে একটি লোকের প্রতিচ্ছবি ।,
 রাস্তায় জমে থাকা পানিতে একটি লোকের প্রতিচ্ছবি ।",ছবিতে প্রতিচ্ছবির উৎস কি?,বৃষ্টির পানি,Food,"A man reflected in rainwater on the street., a man reflected in water., a man reflected in street water",What is the source of the image?,rainwater
chitron_7441.png,'বৃষ্টির মাঝে পুরুষ যাত্রী নিয়ে রিক্সা চালিয়ে যাচ্ছেন একজন পুরুষ।,ছবিতে কী ধরনের আবহাওয়া দেখা যাচ্ছে?,বৃষ্টি,Weather,A man riding a rickshaw with a male passenger in the rain,What kind of weather is shown in the picture?,rain
bnature_1361.jpg,"একজন ছোট মেয়ে মাথায় ব্যান পর হাতে স্লেট নিয়ে হাসি মুখে দাড়িয়ে আছে পিছনে আরো কিছু ছেলে মেয়ে রয়েছে।,
 একটি মেয়ে শিশু হাঁতে বোর্ড নিয়ে আছে।,
 একটি মেয়ে শিশু হাঁতে বোর্ড নিয়ে হাসি মুখে দাড়িয়ে আছে।",মেয়েটির মাথায় কী পরা আছে?,ব্যান্ড,Misc,"A little girl standing with a ban on her head and a slate in her hands, behind the boys and girls, a girl child standing with a board, a girl child standing smiling with a board",What is she wearing on her head?,band
bornon_2250.jpg,"কিছু গাছপালা কুয়াশায় আচ্ছন্ন ।,
 একটি রাস্তা আছে ।,
 রাস্তার দুপাশে গাছপালা আছে ।",ছবির রাস্তাটি কিসের মধ্যে আচ্ছন্ন?,কুয়াশায়,Weather,"Some trees are covered with fog, there is a road, there are trees on both sides of the road",What is the road in the picture?,in mist
bornon_3570.jpg,"একটি সাইকেল এর ছবি দেখা যাচ্ছে যার পিছে পড়ন্ত বিকেলের ছবি দেখা যাচ্ছে ।,
 একটি সাইকেল এর ছবি দেখা যাচ্ছে ।,
 একটি সাইকেল এর পাশে একটি জলাশয় দেখা যাচ্ছে ।",ছবিতে সাইকেলটির পাশে কি রয়েছে?,জলাশয়,Misc,"A picture of a bicycle behind a falling afternoon, a picture of a bicycle beside a pond",What is next to the bicycle in the picture?,Water bodies
bnature_1353.jpg,"একজন নারী একচোখ বন্ধ করে দাড়িয়ে আছে ও পিছনে ফটোতে অনেকগুলো নায়ক নায়িকা আছে।,
 একজন নারী আছে পিছনে ফটোতে অনেকগুলো মানুষ আছে।,
 একজন নারী দাড়িয়ে আছে ও পিছনে ফটোতে অনেকগুলো মানুষ আছে।",নারীটির কয়টি চোখ বন্ধ?,এক,Number,"A woman standing with one eye closed and there are many heroes and heroes in the background, a woman standing behind and there are many people in the background, a woman standing and there are many people in the background",How many eyes of the woman are closed?,one
chitron_6375.png,'রাস্তায় কিছু মানুষ এবং একটি ট্রাক এর মাঝে অনেক মানুষ উঠে আছে।,রাস্তায় কী পরিবহন মাধ্যম ছবিতে দেখা যাচ্ছে?,ট্রাক,Misc,There are people on the street between some people and a truck,What is the transport media on the streets?,truck
chitron_6489.png,'একটি পানকুরি পাখি মুখে একটি মাছ ধরে ভাসছে পানিতে।,ছবিতে এই পাখি কী ধরে আছে?,মাছ,Human,A pankuri bird holding a fish in its mouth is floating in the water,What is the bird holding in the picture?,fish
chitron_8688.png,একজন বৃদ্ধ লোক দাঁড়িয়ে একটা জাল বুনছে।,ছবিতে দেখা বৃদ্ধ লোকটি কি বুনছেন?,জাল,Object,An old man is standing and sowing a nets,What is the old man in the picture sowing?,webs
bnature_175.jpg,"তিন জন মেয়ের মধ্যে একজন লাল জামা পরে আছে,
 তিন জন মেয়ে বসে আছে,
 তিন জন মেয়ের মধ্যে একজন চশমা পরে আছ",কোন মেয়ে লাল জামা পরে আছে?,মাঝখানের,Human,"One of the three girls is wearing a red shirt, three girls are sitting, one of the three girls is wearing glasses",Which girl is wearing a red dress?,middle
bornon_3691.jpg,"মেয়েটি সূর্য হাতে ধরার মতো করে পোজ দিয়েছে ।,
 সাগর পারে একটি মেয়ে দাঁড়িয়ে আছে ।,
 মেয়েটি সূর্য ধরার মতো করে পোজ দিয়েছে ।",মেয়েটি ছবিতে কোন জায়গায় দাঁড়িয়ে আছে?,সাগর পারে,Misc,"The girl poses to hold the sun, a girl standing by the sea, the girl poses to hold the sun",Where is the girl standing in the picture?,on the sea
bornon_3173.jpg,"টিলার পিছনে একটি গাছ দৃশ্যমান ।,
 উঁচু টিলা রয়েছে ।,
 কিছু উঁচু ভূমি রয়েছে ।",ছবিতে কোন ধরনের জমি দৃশ্যমান?,উঁচু টিলা,Misc,There is a tree visible behind the hillock. There are high hillocks. There are some high land,What kind of land is visible in the picture?,hillocks
bornon_850.jpg,"যাত্রীরা অপেক্ষা করতে দেখা যাচ্ছে ।,
 একটি কার দেখা যাচ্ছে ।,
 এয়ারপোর্টে একটি কার দেখা যাচ্ছে ।",কোন যানবাহনকে এয়ারপোর্টে দেখা যাচ্ছে?,কার,Misc,"Passengers waiting, a car, a car at the airport",Any vehicles seen at the airport?,operation
chitron_6278.png,'সূর্যের আলো বরাবর একটি বাঁশে একটি কালো পাখি বসে আছেন।,ছবিতে পাখিটি কোন বস্তুর উপর বসে আছে?,বাঁশে,Plant,A black bird sits on a bamboo along the sunlight,What is the bird sitting on in the picture?,bamboo
chitron_103.png,'একটি কৃষক শার্ট পরে লুঙ্গী কেছে হাতে একটি হাড়ি নিয়ে সাদা সার ধানের  জমিতে ছিটিয়ে দিচ্ছে।,এই কৃষক কোন কাজ করছেন?,সার ছিটানো,Misc,"A farmer wearing a shirt, carrying a pot in his hand and sprinkling white fertilizer on the paddy field",What is this farmer doing?,fertilizing
chitron_5762.png,'গাছের মাঝে একটি রেল লাইন যাতে হাঁটছে একজন পুরুষ।,ছবিতে পুরুষটি কোন পরিবেশে হাঁটছে?,রেল লাইন,Misc,A railway line in the middle of trees with a man walking,What environment is the man walking in the picture?,railway line
chitron_5422.png,বৃষ্টিতে একটি রিক্সায় একজন মানুষ আছে।,ছবিটিতে কোন পরিবহন দেখা যাচ্ছে?,রিক্সা,Vehicle,There is a man in a rickshaw in the rain,What transport is shown in the picture?,rickshaw
chitron_4246.png,'একটি লোক রান্না ঘরে রান্না করতেছে।,চিত্রের লোকটি কোন ধরনের পরিবেশে রান্না করছে?,রান্না ঘরে,Misc,A man is cooking in the kitchen,What kind of environment is the man in the picture cooking?,in the kitchen
bnature_1322.jpg,"একটি সভায় অনেক মানুষের মাঝে এক জন ছোট মেয়ে লাল হলুদ শাড়ি এবং ফুল পরে হাতে একটি মোবাইল নিয়ে সবার সামনে ছবি তুলছে ।,
 একজন বালিকা গলায় ফুলের মালা পরে হাতে মোবাইল নিয়ে ছবি তুলছে।,
 একজন বালিকা গলায় ফুলের মালা পরে হাতে মোবাইল ধরে আছে পিছনে অনেকগুলো মানুষ আছে।",মেয়েটির মাথায় কোন ধরণের ফুল পরে আছে?,গলায় ফুলের মালা,Plant,"Among the many people at a meeting, a young girl wearing a red yellow sari and flowers with a mobile in her hand, a girl wearing a garland of flowers on her neck, a girl holding a mobile in her hand, a girl wearing a garland of flowers on her neck with a mobile with a lot of people behind her",What kind of flower is she wearing on her head?,garlands
bnature_2001.jpg,"সদ্য প্রস্ফুটিত গোলাপ।,
 একটি গোলাপ।,
 একটি লাল গোলাপ ফুল।",ছবিতে কোন ধরনের ফুল দেখা যাচ্ছে?,লাল গোলাপ,Color,"A newly bloomed rose, a rose, a red rose",What kind of flowers are shown in the picture?,red rose
chitron_8144.png,'সূর্যাস্তের সময় নদীতে একটা লঞ্চ চলছে।,ছবিটিতে কোন সময়ে লঞ্চটি নদীতে চলছে?,সূর্যাস্তের সময়,Time,"At sunset, there is a launch in the river",At what time is the launch running in the river in the picture?,sunset
bornon_366.jpg,"একটি রুমে একটি টেবিল টেনিসের টেবিল দেখা যাচ্ছে এবং কিছু চেয়ার টেবিল দেখা যাচ্ছে ।,
 একটি রুমে কিছু চেয়ার টেবিল দেখা যাচ্ছে ।,
 একটি টেবিল টেনিসের টেবিল দেখা যাচ্ছে এবং কিছু চেয়ার টেবিল দেখা যাচ্ছে ।",ছবিতে কোন ধরণের খেলার টেবিল দেখা যাচ্ছে?,টেবিল টেনিসের টেবিল,Misc,One room shows a table tennis table and some chairs tables. A room shows a table tennis table and some chairs tables,What kind of game table is shown in the picture?,table tennis table
chitron_1755.png,'একটি মঞ্চে একজন পুরুষকে গিফট দিয়ে সংবর্ধনা করছে কিছু মানুষ এবং তার দু পাশে দাড়িয়ে আছে অনেকগুলো মানুষ।,ছবিতে দেখানো সম্মাননা প্রাপ্ত পুরুষ কি কোনো উপহার গ্রহণ করছেন?,হ্যাঁ,Misc,In a stage some people are welcoming a man with gifts and many people are standing on both sides of him,Is the honorary man shown in the picture accepting a gift?,Yeah.
chitron_5155.png,"ভবন, গাছ ও আকাশে সূর্য আছে।",ছবিতে কোন সময়ের দৃশ্য?,সূর্যাস্ত,Time,"There are buildings, trees, and the sun in the sky",What time scene in the picture?,sunset
chitron_4319.png,'অনেক গুলো গাছের নিচ দিয়ে একজন মহিলা যাচ্ছে।,ছবিতে মহিলাটি কোন ধরনের পরিবেশের মধ্যে হাঁটছেন?,গাছের নিচে,Plant,A woman walking under a lot of trees,What kind of environment is the woman walking in the picture?,under a tree
bornon_84.jpg,"একটি ফড়িংয়ের সুস্পষ্ট একটি ছবি ।,
 একটি ফড়িং ।,
 একটি ফড়িংয়ের অপরূপ একটি ছবি ।",ছবিতে কোন প্রাণী দেখা যাচ্ছে?,ফড়িং,Misc,A picture of a grasshopper. A grasshopper. A picture of a grasshopper,What animals are in the picture?,grasshopper
chitron_5878.png,'একজন পুরুষ মাছ ধরছে এবং একজন নৌকায় দাড়িয়ে আছে।,ছবিতে পুরুষটি কোন সময়ে মাছ ধরছে?,সূর্যাস্তের সময়,Time,A man is fishing and a man is standing on a boat,When is the man fishing in the picture?,sunset
chitron_3331.png,'একটি গাছের মাছে শার্ট প্যান্ট সান গ্লাস পরে বসে আছে একটি ছেলে।,ছবিতে ছেলেটি কোন জিনিস পরে আছে?,সান গ্লাস,Misc,A boy sits in a tree fish wearing shirts and sunglass,What is the boy wearing in the picture?,Sun Glass
